name,desc
AttackWall,攻击围墙
AvoidLight,避光
**[已废弃]**BeargerOffScreen,已废弃，秋季BOSS熊大在离开屏幕后的行为
ChaseAndAttack,追逐并攻击
ChaseAndAttackAndAvoid,追逐、攻击并躲避
ChaseAndRam,追逐并冲撞
ControlMinions,控制子体
DoAction,通用的动作节点
FaceEntity,面向某个实体
FindClosest,寻找最近的单位
FindFlower,寻找花，用于蜜蜂和蝴蝶。
FindLight,寻找光
Follow,跟随，令生物跟随目标移动
Leash,绑定，令生物绑定在它的领地上，不会到处乱跑
LeashAndAvoid,绑定并躲避
Panic,慌乱，访问到节点时，生物会随机乱窜。
PanicAndAvoid,慌乱并躲避
RunAway,逃离，让生物远离特定目标
**[已废弃]**StalkerChaseAndAttack,已废弃，官方推荐使用ChaseAndAttackAndAvoid替代
StandAndAttack,站在原地攻击
StandStill,站在原地不动
UseShield,使用护盾防御
Wander,漫游，生物会在自己的家附近游荡。